amostra;estado;frutos;maior_diam;endocarpo1;endocarpo2;endocarpo3;endocarpo4;endocarpo5;;predado1
6;intacto;2;20.68;3.55;3.61;3.49;;;;0
6;intacto;3;21.81;3.495;3.48;3.51;;;;0
6;intacto;2;20.56;4.35;3.86;4.84;;;;0
6;intacto;2;21.58;5.24;5.38;5.1;;;;0
6;intacto;3;20.06;4.72;3.93;5.51;;;;0
6;intacto;2;22.9;6.635;7.81;5.46;;;;0
6;intacto;4;25.73;4.62;5.32;3.92;;;;0
6;intacto;2;21.82;5.915;7.17;4.66;;;;0
6;intacto;3;21.04;5.055;5.45;4.66;;;;0
6;intacto;4;26.58;5.535;5.76;5.31;;;;0
6;intacto;4;22.66;3.975;4.02;3.93;;;;0
6;intacto;3;24.36;4.175;4.19;4.16;;;;0
6;intacto;3;25.57;5.995;4.34;7.65;;;;0
6;intacto;2;22.11;5.58;8;3.16;;;;0
6;intacto;3;21.12;3.48;3.9;3.06;;;;0
6;intacto;3;22.97;4.925;4.57;5.28;;;;0
6;intacto;3;21.13;4.21;4.3;4.12;;;;0
6;intacto;2;18.85;4.03;2.77;5.29;;;;0
6;intacto;1;20.82;7.045;9.14;4.95;;;;0
6;intacto;3;23.05;6.52;4.24;8.8;;;;0
6;intacto;3;20.95;4.49;5.37;3.61;;;;0
6;predado;3;21.74;2.49;1.83;3.15;;;;1
6;predado;3;21.95;4.255;4.55;3.96;;;;1
6;predado;4;26.56;4.44;4.44;;;;;1
6;predado;3;21.2;2.375;3.23;1.52;;;;1
6;predado;4;24.28;4.51;4.32;4.7;;;;1
6;predado;3;25.24;3.395;3.84;2.95;;;;1
6;predado;3;23.11;3.49;3.53;3.45;;;;1
6;predado;3;22.46;3.99;4.28;3.7;;;;1
6;predado;4;24.16;3.625;3.78;3.47;;;;1
6;predado;4;23.11;4.04;3.12;4.96;;;;1
6;predado;4;25.4;3.215;3.22;3.21;;;;1
6;predado;4;23.49;3.235;3.4;3.07;;;;1
6;predado;2;22.62;5.91;8;3.82;;;;1
6;predado;3;24.4;3.76;3.86;3.66;;;;1
6;predado;3;21.36;4.365;3.85;4.88;;;;1
6;predado;4;23.04;3.845;4.1;3.59;;;;1
